order_id,order_date,order_hour,status,event,show_date,show_hour,tickets_quantity,ticket_type,tribune,previuos_experience_hour,price_type,order_amount,payment_method,client_id,city,region,country
1400534,2019-08-26,00:19:15,Enviada,Dataton,2023-04-29,17:00:00,4,Sector 3,Brain,,REG,36600,MercadoPago,8245,San salvador de jujuy,Jujuy,Argentina
1404532,2019-09-01,10:45:22,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 6,Bishop,,REG,10000,MercadoPago,8328,San Salvador de Jujuy,Jujuy,Argentina
1406238,2019-09-04,17:01:20,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 8,Bishop,,REG,16000,MercadoPago,8497,SAN SALVADOR DE JUJUY,Jujuy,Argentina
1410490,2019-09-13,21:25:16,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 6,Bishop,,REG,9000,MercadoPago,5472,Jujuy,Jujuy,Argentina
1460030,2019-11-03,10:27:33,Enviada,Dataton,2023-04-29,17:00:00,4,Sector 7,Bishop,,Pack Flia 4x3,16400,VISA,9387,SAN SALVADOR DE JUJUY,Jujuy,Argentina
1460031,2019-11-03,10:33:25,Enviada,Dataton,2023-04-29,17:00:00,6,Sector 7,Bishop,,Pack Flia 6x4,20198,VISA,9387,SAN SALVADOR DE JUJUY,Jujuy,Argentina
1463204,2019-11-25,13:23:22,Enviada,Dataton,2023-04-30,16:00:00,3,Sector 6,Bishop,,Pack Flia 3x2,9401,MercadoPago,4244,San Pedro de Jujuy,Jujuy,Argentina
1470124,2020-01-09,02:02:22,Enviada,Dataton,2023-04-30,20:00:00,4,Sector 6,Bishop,,MasterCard 30%,11160,MPMastercard,8459,san salvador de jujuy,Jujuy,Argentina
1478784,2020-02-29,15:29:30,Enviada,Dataton,2023-05-03,21:00:00,4,Sector 7,Bishop,,MasterCard 30%,17600,MPMastercard,7537,Lib. Gral San Martin,Jujuy,Argentina
1405570,2019-09-03,11:48:46,Enviada,Dataton,2023-05-04,21:00:00,3,Sector 10,Bishop,,REG,11900,MercadoPago,8304,San Salvador de Jujuy,Jujuy,Argentina
1467333,2019-12-19,16:37:08,Enviada,Dataton,2023-05-04,21:00:00,2,Sector 3,Brain,,Pro Navidad 30%,16480,MercadoPago,4639,san salvador de jujuy,Jujuy,Argentina
1469347,2019-12-31,21:20:10,Enviada,Dataton,2023-05-04,21:00:00,2,Sector 3,Brain,,MasterCard 30%,16480,MPMastercard,8459,san salvador de jujuy,Jujuy,Argentina
1410176,2019-09-13,12:12:14,Enviada,Dataton,2023-05-05,21:00:00,5,Sector 1,Brain,,REG,17500,MercadoPago,8140,san salvador de jujuy,Jujuy,Argentina
1410310,2019-09-13,16:36:10,Enviada,Dataton,2023-05-05,21:00:00,2,Sector 1,Brain,,REG,10000,MercadoPago,8140,san salvador de jujuy,Jujuy,Argentina
1431795,2019-10-08,15:04:37,Enviada,Dataton,2023-05-05,21:00:00,2,Sector 10,Bishop,,REG,9400,MercadoPago,6483,PALPALA,Jujuy,Argentina
1461842,2019-11-13,20:22:40,Enviada,Dataton,2023-05-05,21:00:00,1,Sector 6,Bishop,,REG,7900,MercadoPago,8905,SAN PEDRO DE JUJUY,Jujuy,Argentina
1488109,2021-11-07,12:30:17,Enviada,Dataton,2023-05-05,21:00:00,2,Sector 6,Bishop,,REG,16000,VISA,2196,San Salvador de Jujuy,Jujuy,Argentina
1461523,2019-11-11,16:18:15,En Proceso,Dataton,2023-05-06,21:00:00,3,Sector 3,Brain,,Pack Flia 3x2,22799,VISA,4867,San salvador de Jujuy,Jujuy,Argentina
1474663,2020-02-09,19:34:17,Enviada,Dataton,2023-05-06,17:00:00,4,Sector 7,Bishop,,MasterCard 30%,15640,MPMastercard,6857,San Salvador de Jujuy,Jujuy,Argentina
1464049,2019-11-30,12:44:10,Enviada,Dataton,2023-05-07,16:00:00,5,Sector 4,Brain,,Pack Flia 5x4,24600,MercadoPago,9206,San Pedro de Jujuy,Jujuy,Argentina
1464193,2019-12-01,13:27:10,Enviada,Dataton,2023-05-07,20:00:00,3,Previous Experience,Others,18:00hs,REG,1800,MasterCard,9206,San Pedro de Jujuy,Jujuy,Argentina
1444866,2019-10-12,15:41:41,Enviada,Dataton,2023-05-11,21:00:00,3,Sector 2,Brain,,REG,18500,MercadoPago,7302,san salvador,Jujuy,Argentina
1410084,2019-09-13,10:13:21,Enviada,Dataton,2023-05-13,17:00:00,2,Sector 8,Bishop,,REG,16000,MercadoPago,8517,San Salvador de Jujuy,Jujuy,Argentina
1410835,2019-09-15,23:11:58,Enviada,Dataton,2023-05-13,17:00:00,2,Sector 8,Bishop,,REG,16000,MercadoPago,10010,San Salvador de jujuy ,Jujuy,Argentina
1411699,2019-09-22,18:26:18,Enviada,Dataton,2023-05-13,17:00:00,2,Sector 10,Bishop,,REG,10800,MercadoPago,5205,San Salvador de Jujuy,Jujuy,Argentina
1461216,2019-11-09,15:29:19,Enviada,Dataton,2023-05-13,17:00:00,3,Sector 3,Brain,,Pack Flia 3x2,22799,MercadoPago,8830,San Salvador de Jujuy ,Jujuy,Argentina
1471121,2020-01-18,17:15:39,Enviada,Dataton,2023-05-13,17:00:00,4,Sector 8,Bishop,,Pack Flia 4x3,22100,MercadoPago,3457,SS de Jujuy,Jujuy,Argentina
1471122,2020-01-18,17:19:02,Enviada,Dataton,2023-05-13,17:00:00,4,Sector 8,Bishop,,Pack Flia 4x3,22100,MercadoPago,8601,San salvador de jujuy,Jujuy,Argentina
1471128,2020-01-18,19:59:30,Enviada,Dataton,2023-05-13,17:00:00,2,Sector 8,Bishop,,REG,16400,MercadoPago,9457,san salvador de jujuy,Jujuy,Argentina
1471900,2020-01-28,18:11:48,Enviada,Dataton,2023-05-13,21:00:00,2,Sector 4,Brain,,REG,14800,MercadoPago,9208,San Salvador de Jujuy,Jujuy,Argentina
1476860,2020-02-21,19:44:15,En Proceso,Dataton,2023-05-13,17:00:00,2,Sector 7,Bishop,,REG,12600,MercadoPago,799,Jujuy,Jujuy,Argentina
1463796,2019-11-28,22:52:41,Enviada,Dataton,2023-05-14,20:00:00,3,Sector 8,Bishop,,Pack Flia 3x2,22799,MercadoPago,4698,San Salvador de Jujuy ,Jujuy,Argentina
1463797,2019-11-28,22:57:41,Enviada,Dataton,2023-05-14,20:00:00,1,Previous Experience,Others,18:30hs,REG,600,MercadoPago,4698,San Salvador de Jujuy ,Jujuy,Argentina
1576548,2022-05-02,13:23:02,Enviada,Dataton,2023-04-27,21:00:00,1,Sector 5,Brain,,REG,10000,MasterCard,9987,Salta,Salta,Argentina
1406467,2019-09-05,08:16:56,Enviada,Dataton,2023-04-28,21:00:00,4,Sector 3,Brain,,REG,36600,MercadoPago,5549,Salta,Salta,Argentina
1412489,2019-10-05,12:14:33,Enviada,Dataton,2023-04-28,21:00:00,2,Sector 7,Bishop,,REG,14800,VISA,8775,salta,Salta,Argentina
1458240,2019-10-26,23:00:55,Enviada,Dataton,2023-04-28,21:00:00,5,Sector 8,Bishop,,REG,49500,MercadoPago,7445,Salta ,Salta,Argentina
1461333,2019-11-10,13:01:52,Enviada,Dataton,2023-04-28,21:00:00,6,Sector 8,Bishop,,Pack Flia 6x4,27800,MercadoPago,9606,Salta Capital,Salta,Argentina
1461487,2019-11-11,13:12:17,Enviada,Dataton,2023-04-28,21:00:00,2,Sector 8,Bishop,,REG,16400,MercadoPago,9606,Salta Capital,Salta,Argentina
1463045,2019-11-24,03:36:13,Enviada,Dataton,2023-04-28,21:00:00,6,Sector 8,Bishop,,Pack Flia 6x4,27800,MercadoPago,1006,Rosario de la frontera,Salta,Argentina
1463057,2019-11-24,12:06:59,Enviada,Dataton,2023-04-28,21:00:00,6,Sector 8,Bishop,,Pack Flia 6x4,27800,MercadoPago,10033,Rosario de la frontera ,Salta,Argentina
1463096,2019-11-24,17:36:31,Enviada,Dataton,2023-04-28,21:00:00,3,Sector 8,Bishop,,Pack Flia 3x2,16400,MercadoPago,3240,Rosario de la Frontera ,Salta,Argentina
1463145,2019-11-25,09:04:48,Enviada,Dataton,2023-04-28,21:00:00,3,Sector 8,Bishop,,Pack Flia 3x2,22799,MercadoPago,2337,Rosario de la Frontera,Salta,Argentina
1463147,2019-11-25,09:18:15,Enviada,Dataton,2023-04-28,21:00:00,3,Sector 8,Bishop,,Pack Flia 3x2,16400,MercadoPago,7884,Rosario de La Frontera,Salta,Argentina
1463153,2019-11-25,10:03:27,Enviada,Dataton,2023-04-28,21:00:00,4,Sector 8,Bishop,,Pack Flia 4x3,31700,MercadoPago,5027,Rosario de la frotnera,Salta,Argentina
1463383,2019-11-26,16:38:45,Enviada,Dataton,2023-04-28,21:00:00,3,Sector 8,Bishop,,Pack Flia 3x2,16400,MercadoPago,8368,ROSARIO DE LA FRONTERA,Salta,Argentina
1463665,2019-11-27,23:33:16,Enviada,Dataton,2023-04-28,21:00:00,4,Sector 2,Brain,,Pack Flia 4x3,16400,MercadoPago,2730,Rosario de la Frontera ,Salta,Argentina
1464180,2019-12-01,12:00:20,Enviada,Dataton,2023-04-28,21:00:00,1,Sector 9,Bishop,,Edenor 20%,8040,MercadoPago,7454,Rosario de la Frontera,Salta,Argentina
1402927,2019-08-29,09:58:27,Enviada,Dataton,2023-04-29,21:00:00,3,Sector 1,Brain,,REG,12500,MercadoPago,10029,Salta,Salta,Argentina
1403517,2019-08-30,20:38:35,Enviada,Dataton,2023-04-29,21:00:00,5,Sector 6,Bishop,,REG,17500,MercadoPago,6926,villa san lorenzo,Salta,Argentina
1404436,2019-09-01,00:07:14,Enviada,Dataton,2023-04-29,21:00:00,4,Sector 6,Bishop,,REG,15000,MercadoPago,8066,Salta,Salta,Argentina
1404704,2019-09-01,15:01:48,Enviada,Dataton,2023-04-29,17:00:00,2,Sector 8,Bishop,,REG,20800,MercadoPago,615,Salta,Salta,Argentina
1407416,2019-09-06,10:42:28,Enviada,Dataton,2023-04-29,17:00:00,3,Sector 6,Bishop,,REG,12500,MercadoPago,501,capital ,Salta,Argentina
1408908,2019-09-09,22:51:17,Enviada,Dataton,2023-04-29,21:00:00,4,Sector 5,Brain,,REG,13000,MercadoPago,8241,Salta,Salta,Argentina
1410710,2019-09-15,11:51:29,Enviada,Dataton,2023-04-29,17:00:00,2,Sector 8,Bishop,,REG,20800,MercadoPago,7658,SALTA,Salta,Argentina
1411338,2019-09-19,13:35:22,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 3,Brain,,REG,20800,MercadoPago,574,Salta,Salta,Argentina
1411757,2019-09-23,14:24:13,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 4,Brain,,REG,12600,MercadoPago,10163,Oran ,Salta,Argentina
1453006,2019-10-16,20:33:39,Enviada,Dataton,2023-04-29,17:00:00,3,Sector 4,Brain,,REG,16400,MercadoPago,9085,salta,Salta,Argentina
1457573,2019-10-24,17:51:19,Enviada,Dataton,2023-04-29,17:00:00,1,Sector 8,Bishop,,REG,10700,MercadoPago,9828,Chicoana,Salta,Argentina
1463851,2019-11-29,10:29:51,Enviada,Dataton,2023-04-29,17:00:00,5,Sector 8,Bishop,,Pack Flia 5x4,27800,MercadoPago,9248,Rosario de la frontera,Salta,Argentina
